11	1	BW-B30	30 "	34 1/2 "	24 "	F-F	881.00	Both
11.1	1	BW-ASSEMBLY_COST	30 "	34 1/2 "	24 "	F-F	27.50	None
12	1	BW-FSB36	36 "	34 1/2 "	24 "	F-F	816.00	Both
12.1	1	BW-ASSEMBLY_COST	36 "	34 1/2 "	24 "	F-F	27.50	None
13	1	BW-DB24-3	24 "	34 1/2 "	24 "	F-F	1,014.00	None
13.1	1	BW-ASSEMBLY_COST	24 "	34 1/2 "	24 "	F-F	38.50	None
14	1	BW-B36	36 "	34 1/2 "	24 "	F-F	977.00	Both
14.1	1	BW-ASSEMBLY_COST	36 "	34 1/2 "	24 "	F-F	27.50	None
15	1	BW-DB30-2	30 "	34 1/2 "	24 "	F-F	1,095.00	None
15.1	1	BW-ASSEMBLY_COST	30 "	34 1/2 "	24 "	F-F	38.50	None
16	1	BW-SB42	42 "	34 1/2 "	24 "	F-F	779.00	Both
16.1	1	BW-ASSEMBLY_COST	42 "	34 1/2 "	24 "	F-F	27.50	None
17	1	BW-ER33R	33 "	34 1/2 "	24 "	F-F	969.00	Right
17.1	1	BW-ASSEMBLY_COST	33 "	34 1/2 "	24 "	F-F	38.50	None
18	1	BW-ER33L	33 "	34 1/2 "	24 "	F-F	969.00	Left
18.1	1	BW-ASSEMBLY_COST	33 "	34 1/2 "	24 "	F-F	38.50	None
19	1	BW-B30	30 "	34 1/2 "	24 "	F-F	881.00	Both
19.1	1	BW-ASSEMBLY_COST	30 "	34 1/2 "	24 "	F-F	27.50	None
20	1	BW-DB30-3	30 "	34 1/2 "	24 "	F-F	1,157.00	None
20.1	1	BW-ASSEMBLY_COST	30 "	34 1/2 "	24 "	F-F	38.50	None
21	1	BW-DB30-3	30 "	34 1/2 "	24 "	F-F	1,157.00	None
21.1	1	BW-ASSEMBLY_COST	30 "	34 1/2 "	24 "	F-F	38.50	None
22	1	BW-BPLG4896	52 7/16 "	34 1/2 "	0 1/4 "	F-F	337.00	None
23	1	BW-W3642	36 "	42 "	12 "	F-F	908.00	Both
23.1	1	BW-ASSEMBLY_COST	36 "	42 "	12 "	F-F	17.00	None
24	1	BW-W3624	36 "	24 "	12 "	F-F	561.00	Both
24.1	1	BW-ASSEMBLY_COST	36 "	24 "	12 "	F-F	17.00	None
25	1	BW-SWR3012	30 "	1 1/2 "	10 1/2 "	F-F	0.00	None
26	1	BW-WR3018-H	30 "	18 "	12 "	F-F	447.00	None
26.1	1	BW-ASSEMBLY_COST	30 "	18 "	12 "	F-F	17.00	None
27	1	BW-W942R	9 "	42 "	12 "	F-F	335.00	Right
27.1	1	BW-ASSEMBLY_COST	9 "	42 "	12 "	F-F	17.00	None
28	1	BW-W3024	30 "	24 "	12 "	F-F	500.00	Both
28.1	1	BW-ASSEMBLY_COST	30 "	24 "	12 "	F-F	17.00	None
29	1	BW-WER2442R	24 "	42 "	12 "	F-F	963.00	Right
29.1	1	BW-ASSEMBLY_COST	24 "	42 "	12 "	F-F	38.50	None
30	1	BW-W3030	30 "	30 "	24 "	F-F	563.00	Both
30.1	1	MODID-BW WALL GT15	30 "	30 "	24 "	F-F	230.00	None
30.2	2	BW-TEP3096	30 "	30 "	24 "	U-F	922.00	None
30.3	1	BW-ASSEMBLY_COST	30 "	30 "	24 "	F-F	17.00	None
31	1	BW-W3030	30 "	30 "	24 "	F-F	563.00	Both
31.1	1	MODID-BW WALL GT15	30 "	30 "	24 "	F-F	230.00	None

Print date:	3/10/2026	Page 4 / 	5
	Price	Hng
#	Qty	Manuf. code	Width	Height	Depth	Left-Right
31.2	2	BW-TEP3096	30 "	30 "	24 "	U-F	922.00	None
31.3	1	BW-ASSEMBLY_COST	30 "	30 "	24 "	F-F	17.00	None
32	1	BW-W3030	30 "	30 "	24 "	F-F	563.00	Both
32.1	1	MODID-BW WALL GT15	30 "	30 "	24 "	F-F	230.00	None
32.2	2	BW-TEP3096	30 "	30 "	24 "	U-F	922.00	None
32.3	1	BW-ASSEMBLY_COST	30 "	30 "	24 "	F-F	17.00	None
33	1	BW-W942R	9 "	42 "	12 "	F-F	335.00	Right
33.1	1	BW-ASSEMBLY_COST	9 "	42 "	12 "	F-F	17.00	None
34	1	BW-WER2442L	24 "	42 "	12 "	F-F	963.00	Left
34.1	1	BW-ASSEMBLY_COST	24 "	42 "	12 "	F-F	38.50	None
35	1	BW-W2442-2	24 "	42 "	12 "	F-F	657.00	Both
35.1	1	BW-ASSEMBLY_COST	24 "	42 "	12 "	F-F	17.00	None
36	1	BW-W362424	36 "	24 "	24 "	F-F	673.00	Both
36.1	1	BW-ASSEMBLY_COST	36 "	24 "	24 "	F-F	17.00	None
37	1	BW-W3042	30 "	42 "	12 "	F-F	792.00	Both
37.1	1	BW-ASSEMBLY_COST	30 "	42 "	12 "	F-F	17.00	None
38	1	BW-W2742	27 "	42 "	12 "	F-F	732.00	Both
38.1	1	BW-ASSEMBLY_COST	27 "	42 "	12 "	F-F	17.00	None
39	1	BW-P3096	30 "	96 "	24 "	F-F	2,103.00	Both
39.1	1	BW-ASSEMBLY_COST	30 "	96 "	24 "	F-F	38.50	None
40	1	BW-TEP3096L	1 1/2 "	96 "	24 "	F-U	461.00	Left
41	1	BW-TEP3096R	1 1/2 "	96 "	24 "	U-F	461.00	Right
42	1	BW-F696	3 7/8 "	34 1/2 "	24 "	F-F	192.00	None
43	1	BW-F396	3 "	34 1/2 "	24 "	F-F	96.00	None
44	1	BW-F696	3 7/8 "	42 "	12 "	F-F	102.00	None
45	5	BW-TKS8	96 "	4 1/2 "	0 1/4 "	U-U	155.00	None
46	6	BW-BCM8	96 "	3 1/4 "	1 1/2 "	U-U	1,470.00	None
Number of items for this catalog:	69

Print date:	3/10/2026	Page 5 / 	5
